Substantive,Attitudinal,Item Number,Item Stem
Absorption, Cognitive,1,I am able to concentrate on my work without getting distracted
Absorption, Cognitive,3,Time passes quickly while I'm working
Absorption, Affective,5,I enjoy thinking about work even when I'm not at work
Absorption, Affective,8,I love starting my workday
Absorption, Behavioral,10,I have to be reminded to take breaks while I'm at work
Absorption, Behavioral,11,I never miss a work deadline
Vigor, Cognitive,14,Thinking about work saps my energy
Vigor, Cognitive,16,I'm able to maintain good levels of energy throughout the workday
Vigor, Affective,17,I enjoy spending time completing my job tasks
Vigor, Affective,19,I feek motivated to go beyond what is asked of me at work
Vigor, Behavioral,21,When work is slow I find ways to be productive
Vigor, Behavioral,22,I express enthusiasm for my job while at work
Dedication, Cognitive,25,I plan to stay with this company as my career advances
Dedication, Cognitive,26,I believe this company cares about my career goals
Dedication, Affective,31,I feel proud of my accomplishments within this organization
Dedication, Affective,32,My job makes me feel like I'm part of something meaningful
Dedication, Behavioral,34,I embrace challenging situations at work
Dedication, Behavioral,35,I speak positively about this organization to others
