"","fitMeasures(Fit.28)"
"npar",77
"fmin",0.224569206849816
"chisq",458.121181973625
"df",112
"pvalue",0
"chisq.scaled",404.089459874217
"df.scaled",112
"pvalue.scaled",0
"chisq.scaling.factor",1.13371227776202
"baseline.chisq",8062.04299720736
"baseline.df",153
"baseline.pvalue",0
"baseline.chisq.scaled",6261.1239118006
"baseline.df.scaled",153
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.2876351132442
"cfi",0.956237286597653
"tli",0.940217007584294
"nnfi",0.940217007584294
"rfi",0.922373738550598
"nfi",0.943175547174294
"pnfi",0.690429158715823
"ifi",0.956462979873793
"rni",0.956237286597653
"cfi.scaled",0.95218016790558
"tli.scaled",0.93467469365673
"cfi.robust",0.957896511047008
"tli.robust",0.942483626698144
"nnfi.scaled",0.93467469365673
"nnfi.robust",0.942483626698144
"rfi.scaled",0.911834508708473
"nfi.scaled",0.935460555394438
"ifi.scaled",0.952499012206653
"rni.scaled",0.95218016790558
"rni.robust",0.957896511047008
"logl",-27135.8250405867
"unrestricted.logl",-26906.7644495999
"aic",54425.6500811735
"bic",54805.0720399569
"ntotal",1020
"bic2",54560.5127275855
"scaling.factor.h1",1.22452497908841
"scaling.factor.h0",1.3566161810177
"rmsea",0.0550433670042966
"rmsea.ci.lower",0.0498508867541282
"rmsea.ci.upper",0.0603380490484168
"rmsea.pvalue",0.0549610360244007
"rmsea.scaled",0.0505648642448275
"rmsea.ci.lower.scaled",0.045620645101863
"rmsea.ci.upper.scaled",0.0555966788240173
"rmsea.pvalue.scaled",0.416820790468602
"rmsea.robust",0.0538394073404931
"rmsea.ci.lower.robust",0.0482375276435877
"rmsea.ci.upper.robust",0.0595470419180178
"rmsea.pvalue.robust",NA
"rmr",0.0599227068100931
"rmr_nomean",0.0629976051665266
"srmr",0.0334090432674726
"srmr_bentler",0.0334090432674726
"srmr_bentler_nomean",0.0351234010933384
"crmr",0.03514235049618
"crmr_nomean",0.0371449640216823
"srmr_mplus",0.0334302372323771
"srmr_mplus_nomean",0.0351389773141987
"cn_05",307.590261850683
"cn_01",334.364727016438
"gfi",0.990671133486906
"agfi",0.984257537759154
"pgfi",0.587064375399648
"mfi",0.843945596096154
"ecvi",0.600118805856495
