"","fitMeasures(Fit.mod4)"
"npar",81
"fmin",0.244631139400378
"chisq",499.04752437677
"df",128
"pvalue",0
"chisq.scaled",420.200839904485
"df.scaled",128
"pvalue.scaled",0
"chisq.scaling.factor",1.18764047327989
"baseline.chisq",9174.92862351505
"baseline.df",171
"baseline.pvalue",0
"baseline.chisq.scaled",7117.11403031859
"baseline.df.scaled",171
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.28913609988968
"cfi",0.958790485809969
"tli",0.944946664636755
"nnfi",0.944946664636755
"rfi",0.927334987610871
"nfi",0.945607476106383
"pnfi",0.707823140009456
"ifi",0.9589863543952
"rni",0.958790485809969
"cfi.scaled",0.957933192770939
"tli.scaled",0.943801374717427
"cfi.robust",0.96124517585756
"tli.robust",0.948225977122209
"nnfi.scaled",0.943801374717427
"nnfi.robust",0.948225977122209
"rfi.scaled",0.921125043498176
"nfi.scaled",0.940959096887524
"ifi.scaled",0.95819200564808
"rni.scaled",0.957933192770939
"rni.robust",0.96124517585756
"logl",-28505.8880312842
"unrestricted.logl",-28256.3642690959
"aic",57173.7760625685
"bic",57572.908252977
"ntotal",1020
"bic2",57315.6445607421
"scaling.factor.h1",1.22688056701343
"scaling.factor.h0",1.28888960402446
"rmsea",0.0533101247069274
"rmsea.ci.lower",0.0484268360319976
"rmsea.ci.upper",0.0582822036013556
"rmsea.pvalue",0.130460466253206
"rmsea.scaled",0.0473081166786439
"rmsea.ci.lower.scaled",0.0427318551343371
"rmsea.ci.upper.scaled",0.0519539084364844
"rmsea.pvalue.scaled",0.826681195380752
"rmsea.robust",0.0515558740392842
"rmsea.ci.lower.robust",0.0461248444493353
"rmsea.ci.upper.robust",0.0570769076453507
"rmsea.pvalue.robust",NA
"rmr",0.0601115377815322
"rmr_nomean",0.0630454897249896
"srmr",0.0335074455646291
"srmr_bentler",0.0335074455646291
"srmr_bentler_nomean",0.0351428855526748
"crmr",0.0351494423966492
"crmr_nomean",0.0370394408550379
"srmr_mplus",0.0335194465137765
"srmr_mplus_nomean",0.0351447504504161
"cn_05",318.630701537832
"cn_01",344.646363825106
"gfi",0.990072133259531
"agfi",0.983789655087827
"pgfi",0.606359966780956
"mfi",0.83369634190284
"ecvi",0.64808580821252
