"","x"
"npar",77
"fmin",0.293498463713759
"chisq",299.368432988034
"df",112
"pvalue",0
"chisq.scaled",306.485248076328
"df.scaled",112
"pvalue.scaled",0
"chisq.scaling.factor",0.976779257295535
"baseline.chisq",3955.82687765436
"baseline.df",153
"baseline.pvalue",0
"baseline.chisq.scaled",3035.36236446661
"baseline.df.scaled",153
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.30324699415238
"cfi",0.950729170952004
"tli",0.932692528175505
"nnfi",0.932692528175505
"rfi",0.896618665181918
"nfi",0.924322160133169
"pnfi",0.676627986502712
"ifi",0.951254715950586
"rni",0.950729170952004
"cfi.scaled",0.932525746771496
"tli.scaled",0.907825350500348
"cfi.robust",0.949428273189324
"tli.robust",0.930915408910416
"nnfi.scaled",0.907825350500348
"nnfi.robust",0.930915408910416
"rfi.scaled",0.862065648050139
"nfi.scaled",0.899028448245853
"ifi.scaled",0.933472069545571
"rni.scaled",0.932525746771496
"rni.robust",0.949428273189324
"logl",-13595.481712704
"unrestricted.logl",-13445.79749621
"aic",27344.9634254081
"bic",27671.0130512884
"ntotal",510
"bic2",27426.6042765993
"scaling.factor.h1",1.23921134921368
"scaling.factor.h0",1.62093075564008
"rmsea",0.0572735513231287
"rmsea.ci.lower",0.049478633655185
"rmsea.ci.upper",0.0651664630015306
"rmsea.pvalue",0.0619944577789311
"rmsea.scaled",0.0583511249493006
"rmsea.ci.lower.scaled",0.0505017368739314
"rmsea.ci.upper.scaled",0.0663070529292179
"rmsea.pvalue.scaled",0.0403537029617901
"rmsea.robust",0.0576696674969696
"rmsea.ci.lower.robust",0.0500019416303253
"rmsea.ci.upper.robust",0.0654402525448604
"rmsea.pvalue.robust",NA
"rmr",0.0653389842163006
"rmr_nomean",0.0686918372191072
"srmr",0.0372006968479681
"srmr_bentler",0.0372006968479681
"srmr_bentler_nomean",0.0391096291591137
"crmr",0.0390921572989445
"crmr_nomean",0.0412937588630596
"srmr_mplus",0.0372022681055988
"srmr_mplus_nomean",0.0390791451789851
"cn_05",235.586345224736
"cn_01",256.072723006821
"gfi",0.988009720479098
"agfi",0.979766403308477
"pgfi",0.585487241765391
"mfi",0.832189963968327
"ecvi",0.888957711741243
