"","x"
"npar",84
"fmin",0.377751195279306
"chisq",770.612438369783
"df",146
"pvalue",0
"chisq.scaled",648.44925653744
"df.scaled",146
"pvalue.scaled",0
"chisq.scaling.factor",1.1883928165554
"baseline.chisq",9516.90235684714
"baseline.df",190
"baseline.pvalue",0
"baseline.chisq.scaled",7458.36002476408
"baseline.df.scaled",190
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.27600468806119
"cfi",0.933031094947484
"tli",0.91284868520563
"nnfi",0.91284868520563
"rfi",0.894624136535727
"nfi",0.919026968074822
"pnfi",0.706199670204863
"ifi",0.93334553978002
"rni",0.933031094947484
"cfi.scaled",0.930871715926902
"tli.scaled",0.91003853442542
"cfi.robust",0.93561813919501
"tli.robust",0.916215386623643
"nnfi.scaled",0.91003853442542
"nnfi.robust",0.916215386623643
"rfi.scaled",0.886855512827278
"nfi.scaled",0.913057394067277
"ifi.scaled",0.931287675273668
"rni.scaled",0.930871715926902
"rni.robust",0.93561813919501
"logl",-30305.3379124022
"unrestricted.logl",-29920.0316932173
"aic",60778.6758248045
"bic",61192.5906889319
"ntotal",1020
"bic2",60925.7987117994
"scaling.factor.h1",1.21714072787331
"scaling.factor.h0",1.26710733564017
"rmsea",0.0647632747093053
"rmsea.ci.lower",0.060298460185763
"rmsea.ci.upper",0.0693052544069682
"rmsea.pvalue",4.22783057452136e-08
"rmsea.scaled",0.0580857485132808
"rmsea.ci.lower.scaled",0.0539354263999311
"rmsea.ci.upper.scaled",0.0623022044065167
"rmsea.pvalue.scaled",0.000746938574277434
"rmsea.robust",0.0633212674487234
"rmsea.ci.lower.robust",0.0583928239498066
"rmsea.ci.upper.robust",0.0683354089747305
"rmsea.pvalue.robust",NA
"rmr",0.0835890915131042
"rmr_nomean",0.0874790002575167
"srmr",0.0442770943661594
"srmr_bentler",0.0442770943661594
"srmr_bentler_nomean",0.0463375725604105
"crmr",0.0462745779441113
"crmr_nomean",0.0486015482908233
"srmr_mplus",0.0442423897975629
"srmr_mplus_nomean",0.046256005968857
"cn_05",232.895450558061
"cn_01",250.723096210567
"gfi",0.985092962151275
"agfi",0.97651631023831
"pgfi",0.625319880322114
"mfi",0.736252191221687
"ecvi",0.920208272911552
