"","x"
"npar",81
"fmin",0.317846931224278
"chisq",319.754012811623
"df",128
"pvalue",0
"chisq.scaled",269.490018922692
"df.scaled",128
"pvalue.scaled",4.09017264502154e-12
"chisq.scaling.factor",1.18651523381039
"baseline.chisq",4633.55274042123
"baseline.df",171
"baseline.pvalue",0
"baseline.chisq.scaled",3583.43777035839
"baseline.df.scaled",171
"baseline.pvalue.scaled",0
"baseline.chisq.scaling.factor",1.29304679957029
"cfi",0.957030420934919
"tli",0.942595327967744
"nnfi",0.942595327967744
"rfi",0.907809104499004
"nfi",0.930991610385219
"pnfi",0.696882608943322
"ifi",0.957440513104793
"rni",0.957030420934919
"cfi.scaled",0.95853696728136
"tli.scaled",0.944607979727442
"cfi.robust",0.961953024455887
"tli.robust",0.949171618609037
"nnfi.scaled",0.944607979727442
"nnfi.robust",0.949171618609037
"rfi.scaled",0.899531721987033
"nfi.scaled",0.924795674937662
"ifi.scaled",0.959052939648797
"rni.scaled",0.95853696728136
"rni.robust",0.961953024455887
"logl",-14117.5344700332
"unrestricted.logl",-13957.6574636274
"aic",28397.0689400664
"bic",28738.9367438445
"ntotal",503
"bic2",28481.8358125795
"scaling.factor.h1",1.22995398712448
"scaling.factor.h0",1.29859794297885
"rmsea",0.0545736816588619
"rmsea.ci.lower",0.0471192024206207
"rmsea.ci.upper",0.0620954498757087
"rmsea.pvalue",0.152430405029493
"rmsea.scaled",0.0468785235459477
"rmsea.ci.lower.scaled",0.0396915902353395
"rmsea.ci.upper.scaled",0.0540498437610034
"rmsea.pvalue.scaled",0.755929596457165
"rmsea.robust",0.0510635006240752
"rmsea.ci.lower.robust",0.0425332910040607
"rmsea.ci.upper.robust",0.0595728928463731
"rmsea.pvalue.robust",NA
"rmr",0.073409819667025
"rmr_nomean",0.0769928575642451
"srmr",0.0389405819252126
"srmr_bentler",0.0389405819252126
"srmr_bentler_nomean",0.0408412165877198
"crmr",0.0404143368444897
"crmr_nomean",0.0420681747200485
"srmr_mplus",0.0388290552711147
"srmr_mplus_nomean",0.0402231855506374
"cn_05",245.464718052958
"cn_01",265.487692895213
"gfi",0.987086070297324
"agfi",0.97891397415735
"pgfi",0.604531181808888
"mfi",0.826454552852364
"ecvi",0.957761456881955
