"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q65","QID1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q30","Q29","Q28","AB1","AB3","AB4","AB5","AB8","AB10","AB11","V14","V16","V17","V19","V21","V22","D25","D26","D28","D31","D32","D34","D35","Q67","Q68","Q69","Q70","Q71","Q63","Q64","Q54","Q65.1","Q64.1","Q63.1","Q62","Q80","Q83","Q82","Q81","Q66","Q68.1","Q78","Q71.1","Q77","Q74","Q69.1","Q70.1","Q67.1","opp","gc","term","cintid","ProjectToken","gid","sname","TolunaEnc","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","Q_CHL","GeoIP","careless_long","irv","irv2","flag"
"1",3,"2021-10-08 16:48:39","2021-10-08 16:55:26",0,"172.58.103.144",100,406,1,"2021-10-08 16:55:27","R_3JDYRIIkmh8ib9u",NA,NA,NA,NA,29.7756042480469,-95.3081970214844,"anonymous","EN",4,4,6,4,1,4,4,4,2,4,4,4,4,5,4,3,4,3,5,3,5,4,2,5,4,4,4,3,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,1,15,2,2,"technician",2,2,8,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"d8628d76-9463-3e7d-58c2-ba496fcc759b","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,406,"anonymous",NA,7,0.5,1,"use"
"2",4,"2021-10-08 16:51:34","2021-10-08 16:59:14",0,"172.58.107.193",100,460,1,"2021-10-08 16:59:14","R_2645mUvov7reiyb",NA,NA,NA,NA,32.8007965087891,-96.7883987426758,"anonymous","EN",4,4,6,4,2,4,4,4,2,4,4,4,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,15,2,2,"technician",2,3,8,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"974c1751-8280-ad32-76e5-2067b8f643bc","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,460,"anonymous",NA,12,NA,1,"use"
"3",5,"2021-10-08 16:55:30","2021-10-08 17:05:06",0,"73.36.48.119",100,576,1,"2021-10-08 17:05:07","R_3QQsJFauV1WlvB4",NA,NA,NA,NA,42.0487060546875,-87.8905029296875,"anonymous","EN",4,2,6,5,4,4,4,4,2,5,2,4,4,6,6,6,6,5,6,5,5,6,4,6,4,4,3,2,3,4,4,2,5,5,5,2,2,5,4,5,5,5,4,5,5,6,5,2,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,2,2,2,2,1,11,4,3,"IT Director ",1,3,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"9174bb87-6976-397b-4e33-8c5f9d8b8e6a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,576,"anonymous",NA,5,1.4142135623731,1.25830573921179,"use"
"4",6,"2021-10-08 16:59:51","2021-10-08 17:05:34",0,"172.58.189.185",100,343,1,"2021-10-08 17:05:35","R_2ZPsHvQfsINTTF0",NA,NA,NA,NA,38.9033966064453,-76.9881973266602,"anonymous","EN",4,4,6,4,4,4,4,4,2,4,5,4,4,4,4,5,4,4,5,5,5,6,6,5,5,5,6,2,3,5,5,5,5,5,5,3,2,5,5,6,4,4,1,5,6,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,3,3,3,6,11,1,1,"Server",4,5,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"dbb0b86d-b78e-36ac-8ad9-8f9b9224709c","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,343,"anonymous",NA,6,1.73205080756888,1,"use"
"5",7,"2021-10-08 17:05:05","2021-10-08 17:10:09",0,"45.37.158.246",100,303,1,"2021-10-08 17:10:09","R_PNVSzfQ0P2DKDCx",NA,NA,NA,NA,35.3656005859375,-78.0920028686523,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,6,6,7,7,6,6,7,6,7,7,5,6,7,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,5,5,5,4,4,5,5,4,4,3,1,3,2,2,1,2,3,2,"Construction Worker",2,2,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"703440b7-003c-decf-0e03-771f62a6e55b","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,303,"anonymous",NA,9,0,NA,"Flagged"
"6",8,"2021-10-08 17:06:50","2021-10-08 17:12:09",0,"172.72.158.54",100,318,1,"2021-10-08 17:12:10","R_3s1dDjYVr4WRU6v",NA,NA,NA,NA,35.0561981201172,-80.8193969726562,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,7,6,6,6,6,7,7,7,6,6,1,7,6,7,6,5,1,5,6,1,6,1,6,5,5,6,6,6,6,6,6,5,5,6,5,5,5,3,5,5,5,5,5,5,5,4,1,1,1,1,8,10,1,1,"Tutor",4,7,8,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"2a8c177e-89e4-5559-b7ca-20a7419d4d92","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,318,"anonymous",NA,7,2.21735578260835,NA,"use"
"7",9,"2021-10-08 17:06:35","2021-10-08 17:12:42",0,"199.33.102.30",100,367,1,"2021-10-08 17:12:42","R_11jfcugp2mXk6XC",NA,NA,NA,NA,36.1251068115234,-85.6416015625,"anonymous","EN",4,4,3,4,4,4,4,4,4,4,4,4,6,6,6,6,7,6,6,7,6,7,6,6,6,4,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,2,1,5,5,5,4,2,1,1,1,1,1,5,3,2,"Teacher",4,7,8,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"be8d8b38-9814-eb03-b68c-bca6e9847fd5","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,367,"anonymous",NA,9,NA,0,"Flagged"
"8",10,"2021-10-08 17:09:29","2021-10-08 17:13:20",0,"162.224.119.36",100,231,1,"2021-10-08 17:13:20","R_eJrEkHvmFsXsJln",NA,NA,NA,NA,35.8639068603516,-78.5350036621094,"anonymous","EN",4,5,3,4,3,4,4,5,2,5,3,4,6,6,6,6,5,6,5,6,4,6,5,5,6,4,6,5,6,6,4,3,4,6,4,3,5,4,6,5,6,5,5,5,6,6,4,5,6,5,2,5,2,5,1,1,NA,NA,NA,NA,NA,3,3,4,3,8,14,1,2,"owner",1,5,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"57537d4f-4e45-2f2a-68fb-4a78e6aba9a2","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,231,"anonymous",NA,4,0.816496580927726,1.4142135623731,"Flagged"
"9",11,"2021-10-08 17:06:45","2021-10-08 17:13:24",0,"70.15.80.18",100,398,1,"2021-10-08 17:13:24","R_2iCPFCt6M0zCS2t",NA,NA,NA,NA,41.1403961181641,-75.9364013671875,"anonymous","EN",4,5,7,4,4,4,4,4,2,5,4,4,3,6,6,6,6,6,7,7,6,7,6,7,7,7,7,7,7,5,5,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4,4,4,4,1,15,1,2,"owner of a small business",1,7,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"b4ec76ec-f901-1649-d758-41c745821e01","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,398,"anonymous",NA,8,0,1.25830573921179,"Flagged"
"10",12,"2021-10-08 17:09:06","2021-10-08 17:15:16",0,"139.55.10.90",100,370,1,"2021-10-08 17:15:17","R_1ob8BrN32rf1RFH",NA,NA,NA,NA,32.1544952392578,-90.1300964355469,"anonymous","EN",4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,7,16,1,5,"Don’t know ",4,5,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"aec8ba29-70d6-f709-f39d-8de3c49f95c4","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,370,"anonymous",NA,20,0,0,"Flagged"
